Date,Products,Cost,Revenue,Profit
09-02-2016,Helmets,945,1102,
09-02-2016,Jerseys,850,1066,
27-01-2016,Fenders,176,233,
02-04-2016,Mountain Bikes,540,527,
02-04-2016,Socks,54,72,
07-10-2015,Mountain Bikes,2295,2117,
06-11-2015,Road Bikes,2443,2206,
03-12-2015,Mountain Bikes,2295,2137,
21-12-2015,Mountain Bikes,2320,2348,
21-07-2015,Mountain Bikes,2295,2137,
02-10-2015,Mountain Bikes,769,652,
02-10-2015,Shorts,2030,2138,
08-05-2016,Helmets,245,274,
08-05-2016,Vests,64,86,
08-07-2016,Helmets,140,167,
08-08-2015,Helmets,770,829,
06-09-2015,Helmets,560,644,
10-09-2015,Road Bikes,540,517,
10-09-2015,Helmets,420,474,
22-10-2015,Road Bikes,540,531,
22-10-2015,Helmets,455,488,
20-01-2016,Bottles and Cages,90,124,
20-01-2016,Bottles and Cages,45,62,
02-04-2016,Bottles and Cages,115,128,
02-04-2016,Bottles and Cages,60,72,
23-04-2016,Bottles and Cages,160,191,
23-04-2016,Bottles and Cages,5,6,
05-05-2016,Bottles and Cages,40,54,
04-06-2016,Fenders,374,468,
07-06-2016,Socks,234,297,
07-06-2016,Fenders,176,233,
07-06-2016,Bottles and Cages,170,208,
07-06-2016,Bottles and Cages,80,89,
21-07-2016,Bottles and Cages,115,151,
09-09-2015,Bottles and Cages,35,37,
08-10-2015,Bottles and Cages,140,142,
26-12-2015,Bottles and Cages,150,158,
26-12-2015,Bottles and Cages,15,17,
20-01-2016,Bottles and Cages,125,160,
20-01-2016,Bottles and Cages,130,156,
15-02-2016,Bottles and Cages,189,244,
15-02-2016,Bottles and Cages,45,55,
07-03-2016,Bottles and Cages,70,81,
21-03-2016,Bottles and Cages,117,155,
21-03-2016,Bottles and Cages,35,48,
29-03-2016,Bottles and Cages,160,178,
29-03-2016,Bottles and Cages,105,127,
16-08-2015,Bottles and Cages,85,87,
16-08-2015,Bottles and Cages,117,120,
04-10-2015,Mountain Bikes,769,692,
04-10-2015,Shorts,630,676,
01-08-2015,Jerseys,900,1001,
08-10-2015,Jerseys,486,519,
25-10-2015,Jerseys,1500,1472,
06-01-2016,Fenders,418,531,
26-02-2016,Fenders,132,155,
18-03-2016,Fenders,308,424,
30-03-2016,Fenders,286,348,
22-05-2016,Helmets,910,1287,
06-09-2015,Helmets,945,1099,
30-10-2015,Helmets,350,368,
18-04-2016,Jerseys,650,790,
23-05-2016,Fenders,506,637,
04-11-2015,Jerseys,400,399,
22-08-2015,Cleaners,183,204,
06-08-2015,Jerseys,50,52,
17-09-2015,Jerseys,1300,1382,
07-03-2016,Fenders,374,448,
30-05-2016,Fenders,506,586,
23-10-2015,Road Bikes,1701,1597,
17-11-2015,Road Bikes,540,518,
29-11-2015,Road Bikes,540,488,
18-07-2015,Vests,762,898,
01-11-2015,Vests,762,859,
11-03-2016,Fenders,571,729,
12-07-2015,Mountain Bikes,2295,2124,
03-10-2015,Mountain Bikes,769,738,
13-10-2015,Mountain Bikes,769,773,
30-10-2015,Mountain Bikes,769,631,
16-12-2015,Road Bikes,1701,1586,
01-02-2016,Hydration Packs,990,1128,
05-12-2015,Socks,126,151,
16-03-2016,Tires and Tubes,30,34,
29-05-2016,Tires and Tubes,150,166,
07-04-2015,Road Bikes,783,760,
05-08-2015,Tires and Tubes,50,52,
05-08-2015,Tires and Tubes,180,181,
11-12-2015,Mountain Bikes,2295,2030,
11-12-2015,Tires and Tubes,34,38,
31-07-2016,Caps,234,262,
09-09-2015,Caps,90,97,
18-10-2015,Caps,63,72,
20-10-2015,Hydration Packs,275,250,
30-01-2016,Helmets,105,91,
24-11-2015,Helmets,70,51,
12-07-2015,Road Bikes,540,640,
05-12-2015,Mountain Bikes,769,858,
05-12-2015,Jerseys,1300,1576,
28-12-2015,Jerseys,1350,1666,
04-01-2016,Mountain Bikes,769,981,
04-01-2016,Jerseys,1450,2360,
28-12-2015,Road Bikes,1120,1356,
01-05-2016,Tires and Tubes,10,16,
01-05-2016,Gloves,710,1116,
03-10-2015,Tires and Tubes,20,27,
03-10-2015,Tires and Tubes,700,923,
27-04-2016,Fenders,330,362,
27-04-2016,Helmets,70,101,
05-02-2016,Touring Bikes,742,761,
05-02-2016,Bottles and Cages,198,263,
05-02-2016,Bottles and Cages,15,19,
05-02-2016,Helmets,350,449,
05-02-2016,Jerseys,1100,1324,
11-02-2016,Touring Bikes,1215,1284,
11-02-2016,Bottles and Cages,30,39,
11-02-2016,Bottles and Cages,45,52,
15-02-2016,Mountain Bikes,565,593,
15-02-2016,Bottles and Cages,120,167,
15-02-2016,Bottles and Cages,55,64,
19-02-2016,Touring Bikes,2384,2801,
19-02-2016,Helmets,210,257,
23-02-2016,Touring Bikes,742,856,
23-02-2016,Bottles and Cages,36,44,
18-03-2016,Road Bikes,1120,1114,
18-03-2016,Helmets,945,1143,
21-03-2016,Road Bikes,1701,1802,
21-03-2016,Helmets,840,1065,
24-03-2016,Touring Bikes,1215,1348,
24-03-2016,Bottles and Cages,45,54,
24-03-2016,Bottles and Cages,120,156,
24-03-2016,Jerseys,1296,1771,
15-04-2016,Helmets,455,566,
18-04-2016,Mountain Bikes,2295,2625,
18-04-2016,Bottles and Cages,130,167,
18-04-2016,Bottles and Cages,200,262,
18-04-2016,Helmets,350,444,
28-05-2016,Road Bikes,2443,2688,
03-06-2016,Mountain Bikes,2295,2354,
03-06-2016,Bottles and Cages,300,420,
03-06-2016,Bottles and Cages,150,188,
03-06-2016,Helmets,175,209,
03-06-2016,Jerseys,1450,2066,
13-06-2016,Road Bikes,540,550,
13-06-2016,Helmets,1015,1398,
14-06-2016,Road Bikes,1120,1293,
14-06-2016,Bottles and Cages,108,138,
14-06-2016,Bottles and Cages,145,199,
14-06-2016,Helmets,175,202,
22-06-2016,Mountain Bikes,2320,2487,
22-06-2016,Bottles and Cages,200,275,
22-06-2016,Helmets,210,266,
27-06-2016,Touring Bikes,742,881,
05-01-2015,Road Bikes,2182,2065,
09-02-2015,Mountain Bikes,2049,2036,
18-02-2015,Mountain Bikes,2071,2043,
25-03-2015,Road Bikes,2443,2485,
29-03-2015,Road Bikes,783,726,
18-07-2015,Touring Bikes,742,682,
18-07-2015,Helmets,490,596,
18-07-2015,Jerseys,850,860,
24-07-2015,Mountain Bikes,2320,2094,
24-07-2015,Helmets,315,347,
07-08-2015,Mountain Bikes,2320,2246,
12-08-2015,Road Bikes,1701,1625,
18-08-2015,Road Bikes,1701,1533,
18-08-2015,Bottles and Cages,55,65,
18-08-2015,Bottles and Cages,216,239,
18-08-2015,Helmets,175,175,
03-10-2015,Touring Bikes,1215,1222,
03-10-2015,Bottles and Cages,162,170,
03-10-2015,Bottles and Cages,110,133,
09-10-2015,Helmets,315,331,
21-10-2015,Mountain Bikes,565,488,
21-10-2015,Touring Bikes,2384,2573,
21-10-2015,Bottles and Cages,135,160,
21-10-2015,Bottles and Cages,140,155,
21-10-2015,Helmets,875,958,
08-11-2015,Mountain Bikes,769,741,
08-11-2015,Helmets,1050,1206,
01-12-2015,Mountain Bikes,769,682,
01-12-2015,Jerseys,500,514,
03-12-2015,Mountain Bikes,2295,2454,
03-12-2015,Bottles and Cages,230,278,
03-12-2015,Helmets,105,129,
08-12-2015,Bottles and Cages,40,44,
08-12-2015,Jerseys,378,440,
17-12-2015,Road Bikes,1701,1524,
17-12-2015,Bottles and Cages,234,273,
17-12-2015,Bottles and Cages,90,100,
17-12-2015,Road Bikes,1120,1089,
19-12-2015,Mountain Bikes,2295,2326,
19-12-2015,Bottles and Cages,290,325,
31-12-2015,Road Bikes,540,555,
31-12-2015,Jerseys,1296,1268,
09-02-2016,Mountain Bikes,769,1004,
09-02-2016,Jerseys,850,1178,
09-02-2016,Caps,18,29,
03-03-2016,Road Bikes,1701,2284,
03-03-2016,Jerseys,648,833,
24-05-2015,Road Bikes,2182,2503,
24-02-2016,Shorts,980,1611,
04-04-2016,Hydration Packs,1430,1817,
19-03-2016,Fenders,571,967,
19-03-2016,Vests,635,769,
26-01-2016,Fenders,110,187,
14-06-2016,Helmets,735,1154,
12-11-2015,Helmets,980,1289,
12-11-2015,Caps,117,156,
25-02-2016,Mountain Bikes,769,1011,
25-02-2016,Tires and Tubes,690,1046,
25-02-2016,Tires and Tubes,70,102,
25-02-2016,Fenders,528,819,
25-02-2016,Bottles and Cages,160,232,
25-02-2016,Road Bikes,1120,881,
22-03-2016,Tires and Tubes,56,48,
22-03-2016,Tires and Tubes,550,666,
22-03-2016,Tires and Tubes,27,37,
24-03-2016,Bike Racks,720,966,
07-04-2016,Bike Racks,240,313,
17-05-2016,Bike Stands,1590,2077,
05-01-2016,Mountain Bikes,2320,2674,
06-01-2016,Mountain Bikes,2320,2427,
07-01-2016,Mountain Bikes,2320,2576,
20-01-2016,Touring Bikes,1215,1312,
22-01-2016,Road Bikes,2443,2448,
03-02-2016,Touring Bikes,2384,2297,
03-02-2016,Helmets,385,536,
03-02-2016,Touring Bikes,2384,2430,
03-02-2016,Helmets,665,893,
09-02-2016,Mountain Bikes,2320,2670,
09-02-2016,Helmets,35,43,
18-02-2016,Road Bikes,540,646,
20-02-2016,Mountain Bikes,565,659,
01-03-2016,Mountain Bikes,2295,2431,
01-03-2016,Touring Bikes,2384,2662,
01-03-2016,Helmets,1015,1276,
07-03-2016,Touring Bikes,1215,1184,
18-03-2016,Touring Bikes,742,876,
20-03-2016,Road Bikes,1701,1657,
07-04-2016,Mountain Bikes,769,761,
15-04-2016,Mountain Bikes,2295,2340,
15-04-2016,Helmets,1050,1317,
22-04-2016,Touring Bikes,1215,1273,
22-04-2016,Helmets,630,763,
22-04-2016,Mountain Bikes,2320,2576,
23-04-2016,Road Bikes,540,602,
28-04-2016,Road Bikes,540,577,
30-04-2016,Mountain Bikes,2295,2432,
03-05-2016,Touring Bikes,1215,1220,
04-05-2016,Touring Bikes,742,841,
31-05-2016,Road Bikes,1701,1980,
31-05-2016,Helmets,350,440,
13-06-2016,Road Bikes,1120,1362,
14-06-2016,Mountain Bikes,2295,2493,
19-06-2016,Road Bikes,1701,1786,
19-06-2016,Helmets,70,84,
19-06-2016,Road Bikes,1120,1129,
21-06-2016,Road Bikes,540,611,
27-06-2016,Mountain Bikes,2320,2571,
27-06-2016,Helmets,210,279,
30-06-2016,Road Bikes,540,629,
08-01-2015,Road Bikes,1000,931,
03-02-2015,Road Bikes,1000,948,
11-02-2015,Mountain Bikes,2071,1879,
16-02-2015,Mountain Bikes,2049,1771,
20-02-2015,Mountain Bikes,2049,2006,
01-03-2015,Road Bikes,783,713,
18-03-2015,Road Bikes,2182,1899,
20-03-2015,Road Bikes,783,694,
24-03-2015,Road Bikes,2182,2133,
02-06-2015,Mountain Bikes,2049,2010,
07-06-2015,Mountain Bikes,2049,1697,
26-06-2015,Mountain Bikes,2049,2081,
03-07-2015,Mountain Bikes,2295,2239,
14-07-2015,Road Bikes,1120,1021,
22-07-2015,Road Bikes,1120,1065,
22-07-2015,Helmets,980,1047,
24-07-2015,Road Bikes,2443,2185,
28-07-2015,Road Bikes,1701,1633,
31-07-2015,Road Bikes,2443,2081,
02-08-2015,Touring Bikes,1215,1084,
06-08-2015,Mountain Bikes,2320,2193,
19-08-2015,Mountain Bikes,2295,2109,
13-09-2015,Touring Bikes,742,752,
13-09-2015,Helmets,525,604,
15-09-2015,Road Bikes,540,537,
30-09-2015,Touring Bikes,742,744,
30-09-2015,Helmets,630,717,
20-10-2015,Mountain Bikes,2320,2046,
12-11-2015,Mountain Bikes,2295,2286,
18-11-2015,Road Bikes,1701,1607,
26-11-2015,Road Bikes,540,519,
02-12-2015,Road Bikes,1701,1656,
02-12-2015,Helmets,770,878,
04-12-2015,Mountain Bikes,2320,2182,
15-12-2015,Mountain Bikes,2295,2078,
15-12-2015,Helmets,455,491,
18-12-2015,Touring Bikes,2384,2289,
18-12-2015,Helmets,525,615,
11-04-2016,Bike Stands,795,1197,
27-07-2015,Helmets,315,408,
06-12-2015,Helmets,560,776,
06-05-2016,Road Bikes,540,704,
12-12-2015,Mountain Bikes,2320,2460,
12-12-2015,Bottles and Cages,130,179,
12-12-2015,Bottles and Cages,140,194,
12-12-2015,Helmets,840,1156,
12-12-2015,Caps,72,94,
06-06-2016,Bike Racks,960,1444,
18-08-2015,Jerseys,950,1095,
08-02-2016,Mountain Bikes,769,994,
08-02-2016,Jerseys,100,163,
08-02-2016,Caps,207,308,
28-07-2016,Fenders,418,554,
19-02-2016,Jerseys,1450,2261,
02-02-2016,Mountain Bikes,769,769,
02-02-2016,Shorts,1610,1811,
02-02-2016,Socks,207,207,
04-04-2016,Bottles and Cages,135,206,
04-04-2016,Jerseys,378,543,
14-06-2016,Road Bikes,540,699,
14-06-2016,Bottles and Cages,120,193,
14-06-2016,Bottles and Cages,261,397,
14-06-2016,Helmets,770,1205,
14-06-2016,Jerseys,700,1066,
16-12-2015,Mountain Bikes,2295,2575,
16-12-2015,Tires and Tubes,245,323,
16-12-2015,Tires and Tubes,150,201,
16-12-2015,Vests,381,491,
26-11-2015,Tires and Tubes,685,968,
26-11-2015,Tires and Tubes,100,82,
26-11-2015,Tires and Tubes,66,95,
18-02-2016,Hydration Packs,990,1222,
01-06-2016,Tires and Tubes,493,491,
01-06-2016,Tires and Tubes,40,46,
10-06-2016,Tires and Tubes,84,95,
10-06-2016,Tires and Tubes,359,419,
10-06-2016,Tires and Tubes,14,15,
10-06-2016,Cleaners,24,21,
15-12-2015,Tires and Tubes,24,34,
15-12-2015,Tires and Tubes,359,498,
17-07-2016,Tires and Tubes,108,165,
17-07-2016,Tires and Tubes,880,1358,
17-07-2016,Helmets,175,279,
21-05-2016,Tires and Tubes,48,72,
21-05-2016,Tires and Tubes,645,981,
10-11-2015,Tires and Tubes,228,300,
31-07-2015,Touring Bikes,2384,2775,
31-07-2015,Caps,126,173,
30-12-2015,Mountain Bikes,2320,2548,
05-03-2016,Tires and Tubes,261,370,
05-04-2016,Tires and Tubes,60,88,
30-05-2016,Tires and Tubes,105,167,
30-05-2016,Tires and Tubes,480,691,
31-10-2015,Tires and Tubes,300,387,
28-01-2016,Socks,99,124,
13-03-2016,Socks,225,302,
09-09-2015,Hydration Packs,1375,1588,
10-12-2015,Hydration Packs,880,1074,
19-12-2015,Hydration Packs,770,800,
02-01-2016,Touring Bikes,2384,1948,
02-01-2016,Bottles and Cages,75,100,
02-01-2016,Bottles and Cages,189,288,
02-01-2016,Hydration Packs,660,1061,
01-02-2016,Road Bikes,2443,2466,
01-02-2016,Tires and Tubes,65,58,
01-02-2016,Tires and Tubes,88,123,
01-02-2016,Vests,191,320,
31-12-2015,Mountain Bikes,2295,1459,
31-12-2015,Bottles and Cages,150,195,
31-12-2015,Bottles and Cages,25,18,
31-12-2015,Helmets,875,1221,
13-03-2016,Tires and Tubes,48,77,
13-03-2016,Tires and Tubes,625,982,
09-06-2016,Tires and Tubes,60,99,
09-06-2016,Tires and Tubes,228,331,
21-01-2016,Tires and Tubes,522,639,
22-02-2016,Tires and Tubes,15,17,
21-09-2015,Tires and Tubes,72,83,
21-09-2015,Tires and Tubes,21,26,
29-07-2015,Touring Bikes,2384,2570,
12-12-2015,Mountain Bikes,2320,2933,
16-01-2016,Touring Bikes,2384,2281,
23-04-2016,Mountain Bikes,2295,2109,
07-06-2016,Touring Bikes,2384,2960,
11-06-2016,Mountain Bikes,540,621,
08-09-2015,Touring Bikes,1215,1184,
27-11-2015,Mountain Bikes,2295,2268,
24-12-2015,Mountain Bikes,2295,2157,
06-01-2016,Touring Bikes,2384,3260,
06-01-2016,Tires and Tubes,174,246,
04-02-2016,Caps,27,32,
14-12-2015,Bottles and Cages,140,119,
14-12-2015,Bottles and Cages,45,39,
14-12-2015,Caps,81,92,
22-12-2015,Touring Bikes,2384,2239,
23-12-2015,Bottles and Cages,90,107,
23-12-2015,Bottles and Cages,90,106,
24-11-2015,Tires and Tubes,619,836,
24-11-2015,Tires and Tubes,28,41,
10-04-2016,Jerseys,1000,1575,
12-01-2016,Bottles and Cages,135,158,
12-01-2016,Helmets,945,1211,
08-02-2016,Bottles and Cages,280,332,
21-02-2016,Helmets,140,181,
25-02-2016,Tires and Tubes,55,68,
25-02-2016,Tires and Tubes,638,816,
25-02-2016,Helmets,980,1278,
10-05-2016,Tires and Tubes,475,643,
10-05-2016,Tires and Tubes,45,55,
20-05-2016,Tires and Tubes,464,561,
20-05-2016,Tires and Tubes,5,6,
08-06-2016,Tires and Tubes,125,160,
08-06-2016,Tires and Tubes,245,326,
08-06-2016,Helmets,490,593,
11-06-2016,Bottles and Cages,5,7,
17-06-2016,Tires and Tubes,57,75,
21-06-2016,Bottles and Cages,105,126,
21-06-2016,Bottles and Cages,220,292,
24-07-2015,Bottles and Cages,105,118,
24-07-2015,Bottles and Cages,198,217,
24-07-2015,Helmets,1015,1091,
08-08-2015,Bottles and Cages,144,161,
06-09-2015,Bottles and Cages,25,30,
27-11-2015,Tires and Tubes,15,18,
27-11-2015,Helmets,665,765,
05-12-2015,Bottles and Cages,100,108,
05-12-2015,Bottles and Cages,15,15,
05-12-2015,Helmets,245,283,
08-12-2015,Bottles and Cages,210,253,
30-10-2015,Tires and Tubes,33,41,
10-02-2016,Tires and Tubes,700,809,
03-03-2016,Road Bikes,2443,2415,
03-03-2016,Tires and Tubes,587,810,
03-03-2016,Tires and Tubes,20,25,
01-04-2016,Helmets,455,616,
20-06-2016,Tires and Tubes,120,118,
20-06-2016,Helmets,735,722,
10-12-2015,Mountain Bikes,2295,1921,
10-12-2015,Tires and Tubes,135,143,
10-12-2015,Tires and Tubes,910,768,
10-12-2015,Helmets,560,643,
10-12-2015,Jerseys,1100,1271,
01-08-2015,Tires and Tubes,52,61,
01-08-2015,Tires and Tubes,848,634,
01-08-2015,Helmets,490,436,
04-03-2016,Tires and Tubes,40,41,
20-09-2015,Tires and Tubes,685,526,
12-07-2016,Tires and Tubes,48,71,
12-07-2016,Tires and Tubes,750,1083,
12-07-2016,Bike Racks,3240,5082,
31-08-2015,Touring Bikes,2384,2596,
31-08-2015,Helmets,595,769,
05-09-2015,Helmets,385,506,
05-09-2015,Caps,18,22,
19-12-2015,Mountain Bikes,2320,2993,
19-12-2015,Caps,81,112,
19-12-2015,Helmets,140,187,
01-02-2016,Hydration Packs,165,201,
01-02-2016,Cleaners,111,144,
10-08-2015,Cleaners,191,217,
22-01-2016,Road Bikes,1120,1283,
25-03-2016,Fenders,659,730,
25-03-2016,Caps,243,314,
14-04-2016,Fenders,330,400,
18-06-2016,Mountain Bikes,2295,2716,
13-07-2016,Fenders,615,841,
05-12-2015,Mountain Bikes,2320,2243,
05-12-2015,Caps,117,130,
13-07-2016,Gloves,588,696,
24-01-2016,Helmets,1015,1138,
27-03-2016,Helmets,420,514,
28-03-2016,Helmets,735,897,
22-04-2016,Helmets,665,908,
27-05-2016,Helmets,560,695,
29-07-2016,Helmets,280,323,
31-07-2016,Helmets,1050,1246,
20-08-2015,Helmets,420,480,
18-09-2015,Helmets,665,748,
02-03-2016,Socks,243,293,
22-06-2016,Fenders,659,732,
22-06-2016,Jerseys,800,863,
22-06-2016,Gloves,686,841,
13-04-2016,Mountain Bikes,540,589,
13-04-2016,Helmets,665,751,
25-06-2016,Mountain Bikes,2320,2578,
26-07-2016,Helmets,700,896,
26-07-2016,Gloves,588,692,
26-08-2015,Mountain Bikes,2295,2006,
26-08-2015,Helmets,35,39,
13-12-2015,Mountain Bikes,2320,2279,
13-12-2015,Helmets,490,489,
26-03-2016,Fenders,506,691,
28-06-2016,Fenders,308,340,
13-04-2016,Helmets,210,244,
13-04-2016,Helmets,70,81,
29-04-2016,Helmets,70,93,
25-05-2016,Helmets,210,244,
29-05-2016,Helmets,175,227,
11-09-2015,Helmets,350,393,
05-10-2015,Helmets,665,714,
07-11-2015,Helmets,245,270,
24-11-2015,Helmets,910,996,
08-02-2016,Fenders,264,335,
28-01-2016,Tires and Tubes,25,31,
24-02-2016,Mountain Bikes,565,597,
15-03-2016,Tires and Tubes,717,898,
15-03-2016,Tires and Tubes,64,73,
24-04-2016,Tires and Tubes,105,140,
24-04-2016,Tires and Tubes,25,31,
05-07-2016,Tires and Tubes,150,201,
05-07-2016,Tires and Tubes,50,58,
19-09-2015,Mountain Bikes,540,519,
24-11-2015,Mountain Bikes,769,699,
24-11-2015,Tires and Tubes,30,31,
30-01-2016,Helmets,210,242,
29-03-2016,Helmets,140,148,
06-04-2016,Helmets,210,241,
17-04-2016,Helmets,105,146,
23-04-2016,Helmets,105,124,
21-05-2016,Helmets,175,190,
24-07-2015,Road Bikes,540,559,
08-08-2015,Helmets,630,718,
08-10-2015,Mountain Bikes,565,517,
14-10-2015,Helmets,35,38,
25-10-2015,Mountain Bikes,769,792,
31-10-2015,Helmets,875,936,
07-11-2015,Helmets,665,779,
08-11-2015,Mountain Bikes,769,743,
08-11-2015,Helmets,350,361,
12-11-2015,Road Bikes,540,559,
22-11-2015,Road Bikes,1120,1066,
22-11-2015,Helmets,280,314,
28-11-2015,Road Bikes,1120,1102,
03-12-2015,Mountain Bikes,2295,2172,
24-12-2015,Helmets,595,593,
29-12-2015,Helmets,560,564,
09-02-2016,Fenders,154,193,
08-03-2016,Road Bikes,540,555,
23-01-2015,Road Bikes,1000,1023,
28-01-2015,Road Bikes,2443,2540,
13-07-2015,Helmets,35,38,
25-12-2015,Helmets,910,1034,
16-01-2016,Fenders,286,352,
19-02-2016,Fenders,44,58,
12-03-2016,Fenders,176,214,
12-07-2016,Fenders,462,533,
21-07-2016,Fenders,374,461,
05-03-2016,Helmets,105,127,
26-03-2016,Helmets,875,1083,
26-03-2016,Fenders,506,624,
16-06-2016,Fenders,66,78,
03-04-2016,Gloves,686,794,
30-05-2016,Gloves,490,566,
13-11-2015,Mountain Bikes,769,701,
13-11-2015,Shorts,490,540,
13-11-2015,Caps,90,107,
15-11-2015,Shorts,1960,2123,
15-11-2015,Jerseys,1512,1617,
25-08-2015,Tires and Tubes,25,29,
14-09-2015,Tires and Tubes,150,157,
01-10-2015,Tires and Tubes,700,744,
01-10-2015,Tires and Tubes,75,80,
14-11-2015,Tires and Tubes,690,709,
14-11-2015,Tires and Tubes,120,144,
14-11-2015,Tires and Tubes,60,59,
14-11-2015,Cleaners,231,249,
21-11-2015,Helmets,980,981,
19-02-2015,Road Bikes,1000,906,
02-11-2015,Mountain Bikes,769,785,
02-11-2015,Shorts,1820,2065,
11-11-2015,Shorts,1540,1784,
15-01-2016,Road Bikes,540,567,
08-02-2016,Road Bikes,540,539,
17-02-2016,Road Bikes,540,523,
07-03-2016,Road Bikes,540,596,
07-03-2016,Jerseys,550,566,
23-03-2016,Road Bikes,540,617,
23-03-2016,Jerseys,216,298,
23-04-2016,Road Bikes,1120,1076,
02-05-2016,Jerseys,324,366,
25-02-2015,Road Bikes,1000,989,
01-08-2015,Road Bikes,540,548,
07-10-2015,Road Bikes,540,462,
30-10-2015,Jerseys,1134,1186,
10-11-2015,Road Bikes,540,529,
31-12-2015,Road Bikes,2443,1959,
15-11-2015,Mountain Bikes,769,651,
01-02-2016,Fenders,484,510,
14-11-2015,Jerseys,1080,1178,
07-12-2015,Jerseys,750,762,
29-12-2015,Cleaners,127,127,
07-01-2016,Gloves,24,30,
31-01-2016,Jerseys,100,124,
03-05-2016,Mountain Bikes,2320,2476,
16-03-2015,Road Bikes,1000,883,
08-10-2015,Mountain Bikes,2295,2181,
09-11-2015,Mountain Bikes,2295,1964,
08-12-2015,Mountain Bikes,2320,1884,
07-10-2015,Tires and Tubes,140,142,
03-11-2015,Tires and Tubes,870,886,
03-11-2015,Tires and Tubes,5,5,
19-12-2015,Mountain Bikes,2295,2098,
27-12-2015,Mountain Bikes,2295,2212,
27-12-2015,Tires and Tubes,770,903,
19-12-2015,Helmets,350,420,
14-12-2015,Vests,127,121,
21-04-2015,Road Bikes,1000,847,
23-12-2015,Mountain Bikes,769,699,
23-12-2015,Cleaners,111,123,
03-04-2016,Mountain Bikes,540,609,
26-05-2016,Mountain Bikes,2295,2613,
26-09-2015,Mountain Bikes,2320,2179,
03-10-2015,Mountain Bikes,2320,2161,
26-10-2015,Mountain Bikes,2295,2006,
25-12-2015,Mountain Bikes,769,702,
07-05-2016,Road Bikes,1120,1234,
11-04-2015,Road Bikes,1000,796,
22-04-2015,Road Bikes,1000,888,
04-01-2016,Fenders,220,244,
20-01-2016,Fenders,88,118,
20-01-2016,Bottles and Cages,60,77,
20-01-2016,Bottles and Cages,75,101,
01-04-2016,Fenders,396,479,
01-04-2016,Bottles and Cages,280,324,
18-01-2016,Tires and Tubes,75,86,
18-01-2016,Fenders,242,269,
18-01-2016,Jerseys,1400,1749,
28-01-2016,Tires and Tubes,1015,1400,
27-02-2016,Tires and Tubes,516,654,
22-03-2016,Jerseys,500,611,
31-03-2016,Tires and Tubes,20,23,
31-03-2016,Tires and Tubes,780,1027,
31-03-2016,Tires and Tubes,174,229,
31-03-2016,Tires and Tubes,95,109,
02-04-2016,Tires and Tubes,225,304,
02-04-2016,Tires and Tubes,95,124,
10-04-2016,Tires and Tubes,5,6,
11-04-2016,Tires and Tubes,95,117,
11-04-2016,Tires and Tubes,480,596,
20-04-2016,Tires and Tubes,46,64,
16-05-2016,Tires and Tubes,8,10,
16-05-2016,Tires and Tubes,16,19,
09-06-2016,Tires and Tubes,30,32,
12-06-2016,Tires and Tubes,88,100,
12-06-2016,Tires and Tubes,625,785,
11-07-2016,Tires and Tubes,120,161,
11-07-2016,Tires and Tubes,554,716,
27-07-2016,Tires and Tubes,175,208,
27-07-2016,Tires and Tubes,150,179,
27-07-2016,Jerseys,1150,1232,
28-07-2016,Tires and Tubes,145,189,
04-08-2015,Tires and Tubes,700,800,
04-08-2015,Tires and Tubes,35,35,
28-08-2015,Tires and Tubes,587,700,
28-08-2015,Tires and Tubes,18,19,
20-09-2015,Tires and Tubes,135,149,
21-09-2015,Tires and Tubes,36,39,
21-09-2015,Tires and Tubes,55,59,
06-10-2015,Tires and Tubes,105,108,
06-10-2015,Tires and Tubes,625,656,
06-10-2015,Tires and Tubes,18,21,
07-10-2015,Tires and Tubes,65,73,
07-10-2015,Jerseys,150,159,
04-11-2015,Tires and Tubes,228,264,
04-11-2015,Tires and Tubes,50,56,
18-11-2015,Jerseys,1450,1597,
20-12-2015,Tires and Tubes,840,959,
20-12-2015,Tires and Tubes,115,128,
20-12-2015,Tires and Tubes,41,46,
25-12-2015,Jerseys,850,933,
31-03-2016,Helmets,140,172,
31-03-2016,Helmets,140,177,
02-04-2016,Helmets,665,744,
11-04-2016,Helmets,315,389,
28-07-2016,Helmets,175,250,
04-08-2015,Helmets,70,81,
29-08-2015,Helmets,805,908,
07-10-2015,Helmets,875,947,
15-11-2015,Helmets,490,522,
02-02-2016,Cleaners,191,233,
23-11-2015,Cleaners,87,102,
06-07-2016,Gloves,269,317,
08-06-2016,Socks,81,93,
20-01-2016,Mountain Bikes,565,577,
29-01-2016,Mountain Bikes,2295,2364,
03-02-2016,Mountain Bikes,2295,2243,
03-02-2016,Caps,36,45,
09-04-2016,Mountain Bikes,2320,2260,
06-05-2016,Mountain Bikes,769,714,
06-05-2016,Mountain Bikes,2320,2551,
10-05-2016,Mountain Bikes,2295,2314,
10-05-2016,Mountain Bikes,2320,2336,
30-05-2016,Mountain Bikes,769,781,
06-07-2016,Caps,144,207,
14-09-2015,Caps,108,110,
05-12-2015,Mountain Bikes,769,719,
18-12-2015,Caps,9,9,
31-12-2015,Mountain Bikes,769,797,
31-12-2015,Caps,9,10,
13-01-2016,Mountain Bikes,540,497,
12-02-2016,Mountain Bikes,2320,2578,
11-05-2016,Mountain Bikes,2295,2248,
28-05-2016,Mountain Bikes,769,814,
14-08-2015,Mountain Bikes,2295,2152,
